Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
fainting,,adult,moderate,Schizophrenia
"palpitations, gas/bloating, persistent sneezing","asthma, chronic liver disease, malnutrition",adult,moderate,Tension Headache
"sensitivity to light, trouble walking, lightheadedness","stress, allergies, chronic kidney disease, rural living",adult,mild,Breast Cancer
"fatigue, hoarseness",family history of cancer,adult,moderate,Iron Deficiency
double vision,"radiation exposure, thyroid disorder, chronic kidney disease",adult,moderate,Pneumonia
"hair loss, memory loss, difficulty breathing at night",alcohol use,senior,moderate,Cirrhosis
"loss of appetite, hallucinations, difficulty breathing at night, insomnia, sore throat",low immunity,adult,mild,Cerebral Palsy
joint pain,family history of cancer,adult,severe,Glaucoma
"low energy, wheezing, rash, hand tremors, numbness, increased thirst",allergies,teenager,mild,Chickenpox
fainting,"occupational hazard, asthma",adult,moderate,Bipolar Disorder
voice tremor,,senior,moderate,Ulcerative Colitis
"muscle pain, muscle stiffness, unsteady gait",occupational hazard,teenager,mild,Arrhythmia
"confusion, irregular heartbeat","hypertension, vitamin D deficiency, exposure to chemicals, obesity",adult,severe,Tuberculosis
"memory loss, hand tremors, difficulty urinating",HIV positive,adult,moderate,Congestive Heart Failure
"frequent infections, anxiety",,senior,moderate,Skin Cancer
"fever, bleeding gums",chronic liver disease,teenager,mild,Common Cold
"mood swings, frequent belching, muscle stiffness","obesity, mental health disorder, stress",adult,moderate,Asthma
"irregular heartbeat, abdominal pain, loss of taste, heat intolerance","sedentary lifestyle, family history of cancer",adult,severe,Lymphoma
"hiccups, frequent belching, difficulty swallowing, swollen lymph nodes","recent infection, thyroid disorder",adult,mild,Arthritis
hiccups,rural living,senior,mild,Pancreatitis
loss of appetite,"family history of cancer, chronic kidney disease, low immunity",senior,moderate,Iron Deficiency
"difficulty breathing at night, low energy, loss of balance, difficulty speaking, dry eyes, joint pain",allergies,adult,moderate,Dengue Fever
"difficulty urinating, fever, joint pain",,senior,mild,Glaucoma
nausea,,adult,mild,Migraine
"trouble walking, acid reflux","autoimmune disorder, chronic kidney disease, malnutrition, sleep apnea",adult,mild,Hypothyroidism
"acid reflux, nausea",,senior,severe,Migraine
mood swings,"alcohol use, rural living",adult,severe,Meningitis
"numbness, hand tremors, rash, increased thirst, wheezing","allergies, high cholesterol",adult,mild,Chickenpox
loss of taste,"high cholesterol, anemia",adult,mild,Chronic Kidney Disease
"wheezing, fainting, mood swings, neck stiffness","asthma, exposure to chemicals, occupational hazard",teenager,mild,Bipolar Disorder
"craving for salt, numbness, shortness of breath, irregular heartbeat","family history of cancer, radiation exposure",adult,severe,Transient Ischemic Attack
"loss of taste, groin pain, facial drooping, persistent hiccups","high cholesterol, diabetes",adult,moderate,Chronic Kidney Disease
"memory loss, cold hands and feet, hand tremors, vision loss, loss of balance",HIV positive,adult,moderate,Congestive Heart Failure
"slow healing, nausea, anxiety, leg cramps, vomiting, easy bruising","frequent travel, occupational hazard",adult,mild,Coronary Artery Disease
"depression, weight loss, involuntary movements, hiccups","stress, HIV positive",senior,mild,Mumps
"heat intolerance, nail changes, double vision, difficulty swallowing, dry mouth, blurred vision",family history of heart disease,senior,severe,Cushing Syndrome
"gas/bloating, sore throat, weight loss, difficulty concentrating, wheezing, painful urination",obesity,adult,mild,Bronchitis
"chest pain, skin discoloration, leg cramps, difficulty swallowing, nail changes",,teenager,severe,Cataract
"chronic cough, vomiting, difficulty breathing at night","allergies, hypertension",senior,moderate,Down Syndrome
"facial drooping, neck stiffness, weight loss, craving for salt, irritability",,adult,mild,Zika Virus
"abdominal pain, lump or swelling, ear pain",,child,moderate,Gastroenteritis
"palpitations, slow healing, joint pain","long-term medication use, anemia, frequent travel",child,moderate,Depression
"persistent hiccups, skin discoloration, insomnia","malnutrition, family history of cancer, asthma",adult,mild,Irritable Bowel Syndrome
"groin pain, loss of taste, persistent hiccups, facial drooping","diabetes, high cholesterol",adult,moderate,Chronic Kidney Disease
"fatigue, hand tremors, nosebleeds, hallucinations, cough, drooling",,adult,moderate,Insomnia
"slow healing, easy bruising, leg cramps, nausea, anxiety, vomiting","occupational hazard, frequent travel, high cholesterol",adult,moderate,Coronary Artery Disease
"lightheadedness, difficulty concentrating, back pain, chest pain, loss of balance, voice tremor, increased thirst","obesity, family history of heart disease",teenager,moderate,Hyperthyroidism
"hair loss, shortness of breath, frequent infections, nosebleeds, palpitations","alcohol use, night shift worker, hypertension",adult,mild,Cirrhosis
"hand tremors, voice tremor, vision loss, loss of balance, difficulty urinating","recent surgery, smoker, HIV positive",child,mild,Congestive Heart Failure
"loss of taste, numbness, persistent sneezing, hand tremors, palpitations",malnutrition,teenager,mild,Tension Headache
painful urination,"malnutrition, anemia, sleep apnea",senior,mild,Migraine
difficulty urinating,family history of cancer,teenager,mild,Glaucoma
"skin discoloration, persistent hiccups, acid reflux",,adult,mild,Irritable Bowel Syndrome
"lump or swelling, tingling sensation, trouble walking, sensitivity to light, lightheadedness","stress, rural living, chronic kidney disease, allergies",child,severe,Breast Cancer
"difficulty concentrating, loss of appetite, painful urination, sore throat, weight loss",chronic liver disease,teenager,moderate,Bronchitis
"vomiting, slow healing, easy bruising, leg cramps, anxiety",,adult,moderate,Coronary Artery Disease
"irregular heartbeat, difficulty urinating, loss of taste, abdominal pain","sedentary lifestyle, family history of cancer, family history of heart disease",teenager,mild,Lymphoma
fever,"chronic kidney disease, thyroid disorder",adult,mild,Glaucoma
"loss of appetite, loss of smell, swelling in legs","COPD, vitamin D deficiency, family history of cancer",adult,moderate,Anxiety Disorder
"skin discoloration, dry mouth, unsteady gait, difficulty swallowing, difficulty urinating, hallucinations","occupational hazard, malnutrition, alcohol use",teenager,moderate,Alzheimer’s Disease
"weight loss, loss of appetite, gas/bloating","rural living, chronic liver disease, chronic kidney disease",adult,mild,Bronchitis
hallucinations,,child,moderate,PCOS
"acid reflux, nausea, abdominal pain","anemia, malnutrition, obesity",adult,mild,Migraine
"acid reflux, nausea","obesity, anemia, malnutrition, sleep apnea",adult,mild,Migraine
"frequent belching, hand tremors, persistent hiccups","pregnancy, exposure to chemicals",adult,severe,COPD
painful urination,"HIV positive, urban living, alcohol use",adult,moderate,Otitis Media
"easy bruising, swelling in legs, urinary incontinence, change in voice, drooling, insomnia, groin pain",chronic liver disease,adult,mild,Gallstones
"rash, insomnia, difficulty sleeping, urinary incontinence",,teenager,moderate,Schizophrenia
"bleeding gums, fainting","urban living, autoimmune disorder, sleep apnea",teenager,moderate,Ulcerative Colitis
lightheadedness,"autoimmune disorder, alcohol use",adult,moderate,Sinusitis
"low energy, loss of balance, dry eyes",,teenager,moderate,Dengue Fever
"double vision, rash",chronic kidney disease,adult,moderate,Kidney Stones
"involuntary movements, difficulty concentrating, tingling sensation, insomnia","smoker, malnutrition, chronic liver disease",teenager,moderate,Urinary Tract Infection
"easy bruising, change in voice, swelling in legs, drooling, urinary incontinence, groin pain, insomnia","smoker, malnutrition",senior,severe,Gallstones
"frequent infections, drooling","night shift worker, vitamin D deficiency",adult,moderate,Influenza
hair loss,recent surgery,adult,mild,COVID-19
"frequent headaches, persistent sneezing","hypertension, diabetes",adult,severe,Autism Spectrum Disorder
"dizziness, difficulty sleeping, joint pain, insomnia",,teenager,moderate,Colon Cancer
"urinary incontinence, difficulty sleeping, fainting, insomnia, rash",sleep apnea,teenager,mild,Schizophrenia
hand tremors,,adult,severe,Chickenpox
"leg cramps, urinary incontinence, difficulty concentrating, confusion, palpitations","smoker, obesity",child,severe,Diabetes Type 1
"neck stiffness, muscle stiffness, dry eyes","diabetes, radiation exposure",adult,moderate,Osteoporosis
difficulty swallowing,"allergies, chronic kidney disease, frequent travel",adult,moderate,Cataract
"leg cramps, increased thirst, muscle stiffness",,senior,moderate,Rheumatoid Arthritis
"urinary incontinence, heat intolerance, repetitive movements, yellowing of eyes, fainting, difficulty concentrating","anemia, recent infection",senior,moderate,Typhoid
chest pain,"frequent travel, allergies",teenager,mild,Cataract
"loss of appetite, leg cramps, cold hands and feet, unsteady gait, increased thirst, change in voice, muscle stiffness",family history of cancer,senior,mild,Rheumatoid Arthritis
"fainting, wheezing","occupational hazard, asthma",adult,mild,Bipolar Disorder
lightheadedness,chronic kidney disease,senior,severe,Parkinson’s Disease
neck stiffness,"malnutrition, smoker",adult,moderate,Tetanus
"frequent headaches, swollen lymph nodes, frequent belching, persistent sneezing, difficulty swallowing",thyroid disorder,adult,moderate,Arthritis
dry eyes,hypertension,senior,mild,Crohn’s Disease
persistent sneezing,,adult,moderate,Autism Spectrum Disorder
"muscle stiffness, painful urination, chronic cough",HIV positive,senior,moderate,Otitis Media
"drooling, difficulty breathing at night, yellowing of eyes","rural living, HIV positive",adult,mild,Influenza
"involuntary movements, weight loss, hiccups, depression","stress, HIV positive",child,mild,Mumps
"skin discoloration, difficulty swallowing","frequent travel, chronic kidney disease, allergies",senior,moderate,Cataract
"hearing loss, abdominal pain","high cholesterol, sleep apnea",teenager,mild,Sleep Apnea
nail changes,,adult,mild,Measles
"back pain, constipation, hearing loss, sensitivity to light, abdominal pain","sleep apnea, COPD, high cholesterol",senior,severe,Sleep Apnea
"anxiety, skin discoloration, joint pain",,adult,moderate,Meningitis
"mood swings, wheezing, neck stiffness, hand tremors, fainting, fever","occupational hazard, asthma, exposure to chemicals",adult,mild,Bipolar Disorder
double vision,"exposure to chemicals, chronic kidney disease",adult,mild,Kidney Stones
"joint pain, skin discoloration, mood swings","occupational hazard, alcohol use",adult,severe,Meningitis
"headache, constipation, neck stiffness",long-term medication use,adult,moderate,Lupus
neck stiffness,,teenager,mild,Bipolar Disorder
"abdominal pain, difficulty urinating","family history of cancer, sedentary lifestyle",child,severe,Lymphoma
"sore throat, painful urination, loss of appetite",rural living,senior,moderate,Bronchitis
hiccups,,adult,moderate,Mumps
"easy bruising, nausea, dry eyes, difficulty breathing at night, headache, loss of balance","hypertension, high cholesterol, recent surgery",adult,severe,Crohn’s Disease
"neck stiffness, hoarseness","diabetes, thyroid disorder, radiation exposure",adult,moderate,Osteoporosis
"depression, difficulty sleeping",vitamin D deficiency,senior,mild,Hepatitis C
"joint pain, difficulty speaking","chronic kidney disease, thyroid disorder, family history of cancer",senior,moderate,Glaucoma
"frequent urination, lump or swelling, shortness of breath",chronic kidney disease,child,mild,Pneumonia
"heat intolerance, difficulty urinating","sedentary lifestyle, family history of cancer, family history of heart disease",adult,severe,Lymphoma
"muscle stiffness, palpitations, muscle pain",night shift worker,adult,severe,Arrhythmia
"mood swings, voice tremor","rural living, pregnancy",adult,mild,Addison’s Disease
"frequent infections, mood swings, difficulty swallowing","rural living, asthma",adult,mild,Addison’s Disease
"dry mouth, hoarseness","asthma, long-term medication use, diabetes",teenager,severe,Lung Cancer
"sore throat, swelling in legs, neck stiffness, weight loss",,adult,mild,Tetanus
"heat intolerance, depression","autoimmune disorder, high cholesterol, urban living",teenager,moderate,Stroke
depression,,adult,severe,Autism Spectrum Disorder
"depression, frequent headaches, hoarseness, persistent sneezing",,adult,moderate,Autism Spectrum Disorder
chronic cough,"hypertension, allergies, asthma",adult,mild,Down Syndrome
"facial drooping, loss of taste, groin pain, persistent hiccups","diabetes, asthma",adult,moderate,Chronic Kidney Disease
"wheezing, diarrhea, leg cramps, cold hands and feet","mental health disorder, obesity, sleep apnea",adult,mild,Hepatitis B
"rash, numbness",,adult,moderate,Chickenpox
"weight loss, sore throat, loss of appetite, wheezing","chronic liver disease, obesity, chronic kidney disease, rural living",adult,moderate,Bronchitis
"hoarseness, weight loss",asthma,adult,severe,Down Syndrome
"skin discoloration, hair loss, dizziness",recent surgery,adult,severe,COVID-19
change in voice,"chronic liver disease, malnutrition, smoker",adult,moderate,Gallstones
"nosebleeds, fatigue, cough, hallucinations, hand tremors","frequent travel, exposure to chemicals, alcohol use, smoker",adult,mild,Insomnia
"low energy, wheezing, lightheadedness, persistent sneezing",,adult,mild,Leukemia
"persistent hiccups, joint pain, hand tremors, difficulty swallowing","urban living, family history of heart disease",teenager,moderate,Conjunctivitis
"trouble walking, muscle pain, insomnia, dry eyes, fever","low immunity, mental health disorder, autoimmune disorder",adult,severe,Hypertension
"abdominal pain, hearing loss, sensitivity to light, constipation","sleep apnea, COPD",adult,moderate,Sleep Apnea
"anxiety, leg cramps, nausea, slow healing","frequent travel, high cholesterol",senior,moderate,Coronary Artery Disease
"difficulty swallowing, skin discoloration, leg cramps","frequent travel, allergies",teenager,severe,Cataract
"wheezing, diarrhea, headache",,adult,mild,Lupus
"frequent infections, voice tremor",asthma,adult,moderate,Addison’s Disease
frequent belching,"autoimmune disorder, sleep apnea, allergies, urban living",senior,mild,Ulcerative Colitis
"frequent urination, groin pain, fainting, lump or swelling, shortness of breath, double vision, frequent headaches",radiation exposure,teenager,moderate,Pneumonia
"tingling sensation, trouble walking","chronic kidney disease, autoimmune disorder, malnutrition",adult,severe,Hypothyroidism
vomiting,occupational hazard,child,severe,Coronary Artery Disease
"dry eyes, low energy, difficulty breathing at night, joint pain, difficulty speaking, loss of balance",allergies,child,severe,Dengue Fever
"mood swings, frequent belching",mental health disorder,adult,moderate,Asthma
"irregular heartbeat, yellowing of eyes, dry mouth","stress, pregnancy",senior,mild,Epilepsy
rash,smoker,senior,moderate,Schizophrenia
"frequent belching, difficulty urinating","vitamin D deficiency, radiation exposure",adult,moderate,Skin Cancer
"lightheadedness, trouble walking, sensitivity to light","chronic kidney disease, rural living, stress, allergies",child,moderate,Breast Cancer
"frequent infections, difficulty breathing at night",night shift worker,adult,moderate,Influenza
"irritability, craving for salt, facial drooping",night shift worker,adult,mild,Zika Virus
fever,"COPD, chronic liver disease, thyroid disorder",child,moderate,Common Cold
voice tremor,"autoimmune disorder, sleep apnea, allergies, urban living",adult,moderate,Ulcerative Colitis
heat intolerance,,adult,moderate,Pancreatitis
"fainting, frequent headaches, lump or swelling, double vision, frequent urination",radiation exposure,teenager,mild,Pneumonia
"muscle stiffness, swelling in legs, loss of appetite, loss of smell, frequent infections","COPD, vitamin D deficiency",adult,mild,Anxiety Disorder
"anxiety, frequent infections, difficulty urinating, memory loss","radiation exposure, vitamin D deficiency, long-term medication use",adult,mild,Skin Cancer
"hallucinations, insomnia, difficulty breathing at night, sore throat, loss of appetite",,adult,moderate,Cerebral Palsy
slow healing,frequent travel,senior,mild,Depression
frequent belching,,child,mild,Asthma
"chest pain, difficulty swallowing, nail changes",chronic kidney disease,senior,mild,Cataract
hoarseness,family history of cancer,adult,mild,Transient Ischemic Attack
"drooling, change in voice, urinary incontinence, easy bruising, insomnia, swelling in legs, groin pain",chronic liver disease,adult,moderate,Gallstones
"memory loss, anxiety, frequent infections, insomnia","long-term medication use, radiation exposure",adult,moderate,Skin Cancer
"irregular heartbeat, low energy, painful urination, lightheadedness","hypertension, exposure to chemicals, vitamin D deficiency, obesity",adult,mild,Tuberculosis
"palpitations, shortness of breath, frequent infections","night shift worker, alcohol use, hypertension",senior,mild,Cirrhosis
"loss of appetite, sore throat, difficulty breathing at night, hallucinations",,senior,severe,Cerebral Palsy
"hiccups, heat intolerance",,adult,mild,Pancreatitis
drooling,"smoker, malnutrition",senior,moderate,Gallstones
"frequent belching, frequent headaches, muscle stiffness, double vision, low energy",,teenager,severe,Asthma
"loss of balance, itching, rash",,child,moderate,Vitamin B12 Deficiency
"skin discoloration, dry mouth, difficulty swallowing, unsteady gait","malnutrition, occupational hazard",adult,mild,Alzheimer’s Disease
painful urination,"chronic kidney disease, obesity, rural living",adult,severe,Bronchitis
"double vision, heat intolerance, frequent infections, nail changes, dry mouth, blurred vision",family history of heart disease,senior,mild,Cushing Syndrome
"memory loss, chest pain, hair loss, loss of balance, rash",urban living,adult,mild,Vitamin B12 Deficiency
"difficulty sleeping, loss of balance, dizziness, gas/bloating, insomnia, joint pain",hypertension,adult,mild,Colon Cancer
"lump or swelling, persistent hiccups, ear pain, confusion, abdominal pain, heat intolerance","occupational hazard, HIV positive",adult,mild,Gastroenteritis
weight loss,,child,moderate,Bronchitis
"lump or swelling, ear pain",,adult,mild,Gastroenteritis
"cough, abdominal pain, lightheadedness",,adult,moderate,Sinusitis
"loss of balance, weight loss, insomnia, difficulty sleeping",chronic kidney disease,teenager,moderate,Hepatitis C
"hoarseness, craving for salt, confusion, numbness, shortness of breath","family history of cancer, radiation exposure",child,moderate,Transient Ischemic Attack
"heat intolerance, hiccups, loss of balance","asthma, rural living",senior,mild,Pancreatitis
"dry eyes, hoarseness, cold hands and feet","asthma, long-term medication use, recent surgery",adult,moderate,Lung Cancer
"difficulty breathing at night, hoarseness, weight loss, vomiting, chronic cough","allergies, asthma, hypertension",adult,moderate,Down Syndrome
"muscle stiffness, change in voice, leg cramps","anemia, family history of cancer, alcohol use",senior,moderate,Rheumatoid Arthritis
"difficulty speaking, difficulty urinating, joint pain, fever","thyroid disorder, chronic kidney disease, family history of cancer",senior,mild,Glaucoma
"rash, persistent sneezing","chronic kidney disease, low immunity",adult,moderate,Kidney Stones
tremors,"autoimmune disorder, alcohol use",teenager,moderate,Sinusitis
muscle stiffness,"urban living, alcohol use, HIV positive",senior,moderate,Otitis Media
"neck stiffness, vision loss, fainting, constipation","mental health disorder, thyroid disorder, low immunity",teenager,moderate,Anemia
"groin pain, persistent hiccups, loss of taste","anemia, asthma",teenager,severe,Chronic Kidney Disease
"skin discoloration, hair loss, dizziness","chronic kidney disease, recent surgery",adult,mild,COVID-19
"vomiting, hoarseness, difficulty breathing at night, chronic cough","asthma, allergies",adult,moderate,Down Syndrome
"fever, difficulty urinating, joint pain","chronic kidney disease, family history of cancer",adult,mild,Glaucoma
"sore throat, neck stiffness","malnutrition, smoker",adult,moderate,Tetanus
"wheezing, hoarseness, leg cramps, diarrhea, cold hands and feet","obesity, sleep apnea",child,moderate,Hepatitis B
"leg cramps, loss of taste",occupational hazard,senior,mild,Parkinson’s Disease
"nausea, dry eyes, difficulty breathing at night, difficulty urinating","high cholesterol, night shift worker, recent surgery, hypertension",adult,mild,Crohn’s Disease
"muscle pain, groin pain, difficulty swallowing, cough, tremors, painful urination, chest pain","alcohol use, occupational hazard",adult,moderate,Macular Degeneration
"neck stiffness, swelling in legs, weight loss, sore throat","malnutrition, smoker",adult,mild,Tetanus
low energy,allergies,senior,moderate,Chickenpox
"irritability, involuntary movements","night shift worker, autoimmune disorder",adult,moderate,Measles
"difficulty swallowing, unsteady gait, joint pain, hand tremors, difficulty speaking, persistent hiccups","family history of heart disease, urban living",senior,severe,Conjunctivitis
"difficulty sleeping, difficulty speaking",chronic liver disease,senior,moderate,Multiple Sclerosis
"blurred vision, difficulty swallowing, frequent infections, heat intolerance, nail changes, double vision, dry mouth",family history of heart disease,adult,moderate,Cushing Syndrome
"numbness, low energy, hand tremors",,adult,mild,Chickenpox
hand tremors,exposure to chemicals,adult,mild,COPD
"increased thirst, loss of appetite, leg cramps, muscle stiffness, cold hands and feet, change in voice","anemia, alcohol use",adult,moderate,Rheumatoid Arthritis
"abdominal pain, sensitivity to light, constipation, back pain, hearing loss",,adult,mild,Sleep Apnea
"loss of appetite, insomnia",,adult,moderate,Cerebral Palsy
"dry mouth, hallucinations, unsteady gait",occupational hazard,adult,severe,Alzheimer’s Disease
"abdominal pain, cough",,senior,mild,Diabetes Type 2
"bleeding gums, voice tremor, frequent belching",,senior,severe,Ulcerative Colitis
"involuntary movements, depression, hiccups, weight loss","HIV positive, stress",adult,moderate,Mumps
constipation,COPD,adult,mild,Sleep Apnea
"bleeding gums, nail changes",thyroid disorder,senior,moderate,Common Cold
"loss of balance, nosebleeds, depression",,senior,mild,Hepatitis C
"involuntary movements, hiccups, weight loss, depression",HIV positive,child,moderate,Mumps
"chest pain, back pain, voice tremor, difficulty concentrating, lightheadedness, loss of balance, increased thirst","family history of heart disease, obesity",adult,moderate,Hyperthyroidism
"urinary incontinence, fainting, difficulty sleeping, insomnia, rash",sleep apnea,adult,moderate,Schizophrenia
"muscle pain, unsteady gait",,teenager,moderate,Arrhythmia
frequent belching,allergies,adult,moderate,Ulcerative Colitis
"nausea, loss of balance, dry eyes","hypertension, high cholesterol, recent surgery, night shift worker",teenager,mild,Crohn’s Disease
fainting,"thyroid disorder, mental health disorder, urban living, low immunity",adult,mild,Anemia
"chronic cough, muscle stiffness, hair loss, painful urination",,child,moderate,Otitis Media
"shortness of breath, groin pain, frequent headaches, lump or swelling, fainting, frequent urination, double vision",radiation exposure,adult,mild,Pneumonia
"leg cramps, increased thirst, loss of taste, lightheadedness",,adult,moderate,Parkinson’s Disease
"skin discoloration, joint pain",,teenager,mild,Meningitis
"craving for salt, numbness",family history of cancer,child,mild,Transient Ischemic Attack
"leg cramps, chronic cough, loss of taste, lightheadedness","occupational hazard, exposure to chemicals",adult,moderate,Parkinson’s Disease
"bleeding gums, frequent belching","allergies, sleep apnea, urban living, autoimmune disorder",adult,moderate,Ulcerative Colitis
"chronic cough, leg cramps, loss of taste, increased thirst, lightheadedness",exposure to chemicals,child,mild,Parkinson’s Disease
"chronic cough, hair loss, muscle stiffness",urban living,teenager,moderate,Otitis Media
loss of balance,,senior,mild,Pancreatitis
"difficulty concentrating, involuntary movements, tingling sensation, insomnia","chronic liver disease, malnutrition",senior,moderate,Urinary Tract Infection
"shortness of breath, difficulty breathing at night, memory loss, frequent infections, palpitations, hair loss","alcohol use, hypertension",adult,moderate,Cirrhosis
"constipation, abdominal pain, sensitivity to light",,adult,moderate,Sleep Apnea
"numbness, shortness of breath",,adult,mild,Transient Ischemic Attack
"back pain, increased thirst, difficulty concentrating",,adult,moderate,Hyperthyroidism
"mood swings, neck stiffness, hand tremors, fever, wheezing, fainting",,adult,severe,Bipolar Disorder
"irregular heartbeat, craving for salt, numbness, hoarseness, yellowing of eyes",family history of cancer,teenager,mild,Transient Ischemic Attack
"irregular heartbeat, frequent belching, dry mouth, wheezing","pregnancy, stress",senior,severe,Epilepsy
"cold hands and feet, wheezing, leg cramps, hoarseness, diarrhea",,child,mild,Hepatitis B
"yellowing of eyes, frequent belching, hair loss, dry mouth","stress, pregnancy, hypertension",child,mild,Epilepsy
"confusion, palpitations","smoker, obesity",teenager,severe,Diabetes Type 1
"loss of appetite, vomiting, leg cramps, palpitations, urinary incontinence, confusion, difficulty concentrating",,child,moderate,Diabetes Type 1
"low energy, joint pain",pregnancy,child,moderate,Dengue Fever
"dizziness, heat intolerance",recent surgery,teenager,severe,COVID-19
"chronic cough, painful urination, muscle stiffness",,adult,moderate,Otitis Media
"skin discoloration, hair loss, dizziness",high cholesterol,senior,moderate,COVID-19
"skin discoloration, persistent hiccups, acid reflux","asthma, long-term medication use",adult,moderate,Irritable Bowel Syndrome
"constipation, difficulty swallowing, diarrhea, neck stiffness, wheezing, abdominal pain","exposure to chemicals, long-term medication use",child,severe,Lupus
"heat intolerance, shortness of breath, depression, dizziness",pregnancy,adult,mild,Stroke
"difficulty sleeping, trouble walking, tingling sensation","sleep apnea, autoimmune disorder, chronic kidney disease, malnutrition",child,severe,Hypothyroidism
"cough, hallucinations, drooling, fatigue",,senior,moderate,Insomnia
"frequent headaches, hoarseness, persistent sneezing",,child,mild,Autism Spectrum Disorder
"leg cramps, cold hands and feet",mental health disorder,adult,mild,Hepatitis B
"increased thirst, chronic cough","occupational hazard, chronic kidney disease",adult,mild,Parkinson’s Disease
"hand tremors, vision loss, difficulty urinating, cold hands and feet, memory loss, loss of balance, voice tremor",mental health disorder,adult,moderate,Congestive Heart Failure
"swelling in legs, blurred vision, diarrhea, difficulty sleeping",chronic kidney disease,adult,severe,Malaria
"palpitations, joint pain",anemia,adult,mild,Depression
"fever, weight loss, abdominal pain, fainting",,adult,mild,Diabetes Type 2
"hoarseness, frequent headaches, depression",,adult,moderate,Autism Spectrum Disorder
"abdominal pain, difficulty urinating",,adult,mild,Lymphoma
"abdominal pain, fever",radiation exposure,adult,mild,Diabetes Type 2
"insomnia, weight loss",,adult,moderate,Hepatitis C
"confusion, persistent hiccups",pregnancy,child,moderate,COPD
tingling sensation,,adult,moderate,Breast Cancer
"frequent belching, bleeding gums","urban living, autoimmune disorder, allergies, sleep apnea",teenager,severe,Ulcerative Colitis
"numbness, gas/bloating, persistent sneezing, palpitations","chronic liver disease, malnutrition",child,mild,Tension Headache
"involuntary movements, acid reflux",,senior,mild,PCOS
"diarrhea, wheezing, cold hands and feet, leg cramps",,senior,mild,Hepatitis B
"hoarseness, weight loss","asthma, hypertension",adult,severe,Down Syndrome
"abdominal pain, lightheadedness, cough","thyroid disorder, alcohol use",adult,moderate,Sinusitis
"neck stiffness, irritability, craving for salt, weight loss, facial drooping",,adult,severe,Zika Virus
"neck stiffness, constipation, fainting, loss of smell, vision loss, difficulty swallowing, memory loss","low immunity, urban living, mental health disorder",senior,moderate,Anemia
"loss of taste, heat intolerance, abdominal pain, irregular heartbeat, difficulty urinating",family history of cancer,adult,severe,Lymphoma
"wheezing, irregular heartbeat, frequent belching, dry mouth, hair loss","stress, pregnancy",senior,severe,Epilepsy
"anxiety, frequent infections, memory loss, frequent belching, difficulty urinating, insomnia","radiation exposure, vitamin D deficiency, long-term medication use",child,mild,Skin Cancer
"drooling, urinary incontinence, easy bruising, groin pain, swelling in legs, insomnia, change in voice","chronic liver disease, malnutrition",senior,moderate,Gallstones
"neck stiffness, diarrhea, headache, wheezing, abdominal pain, constipation, difficulty swallowing",long-term medication use,adult,mild,Lupus
"rash, wheezing, numbness","high cholesterol, allergies",child,moderate,Chickenpox
"difficulty speaking, low energy, joint pain",,senior,severe,Dengue Fever
"anxiety, memory loss, insomnia, frequent infections, frequent belching, difficulty urinating",radiation exposure,adult,severe,Skin Cancer
"diarrhea, irritability, blurred vision","radiation exposure, chronic kidney disease",teenager,severe,Malaria
"swollen lymph nodes, persistent sneezing, rash, heat intolerance","low immunity, chronic kidney disease, exposure to chemicals",child,moderate,Kidney Stones
"blurred vision, dry mouth, frequent infections, nail changes, heat intolerance, double vision, difficulty swallowing",,child,mild,Cushing Syndrome
"insomnia, drooling, change in voice, urinary incontinence, groin pain, easy bruising","chronic liver disease, smoker",senior,severe,Gallstones
dry eyes,low immunity,adult,mild,Hypertension
"change in voice, insomnia, swelling in legs","malnutrition, smoker",senior,mild,Gallstones
hoarseness,"chronic kidney disease, family history of cancer",senior,mild,Iron Deficiency
"difficulty concentrating, insomnia","chronic liver disease, malnutrition, smoker",senior,mild,Urinary Tract Infection
"hallucinations, difficulty breathing at night, loss of appetite, insomnia, sore throat",autoimmune disorder,child,severe,Cerebral Palsy
"loss of smell, muscle stiffness, blurred vision","family history of cancer, COPD, vitamin D deficiency",teenager,moderate,Anxiety Disorder
"hand tremors, fainting, neck stiffness","exposure to chemicals, occupational hazard, asthma",senior,moderate,Bipolar Disorder
"palpitations, muscle stiffness, constipation, unsteady gait",,senior,mild,Arrhythmia
"fever, dizziness, bleeding gums","COPD, thyroid disorder",adult,mild,Common Cold
fever,"chronic kidney disease, thyroid disorder, family history of cancer",child,severe,Glaucoma
"hand tremors, frequent belching, persistent hiccups, confusion",pregnancy,adult,moderate,COPD
lightheadedness,,child,mild,Sinusitis
"irregular heartbeat, dry mouth, wheezing, frequent belching, hair loss","pregnancy, hypertension",senior,mild,Epilepsy
"insomnia, acid reflux, skin discoloration","long-term medication use, asthma, malnutrition, family history of cancer",adult,moderate,Irritable Bowel Syndrome
"acid reflux, abdominal pain","sleep apnea, obesity, malnutrition, anemia",senior,moderate,Migraine
"persistent hiccups, confusion, ear pain, heat intolerance",occupational hazard,adult,moderate,Gastroenteritis
nausea,"urban living, chronic liver disease, HIV positive",adult,mild,Multiple Sclerosis
"hair loss, painful urination",,adult,moderate,Otitis Media
"difficulty breathing at night, weight loss, hoarseness, chronic cough","hypertension, asthma, allergies",senior,moderate,Down Syndrome
