symptom,predictedDisease,healthFactor,ageGroup,severity,userPreference,conventionalMedicine,alternativeMedicine,conventionalMedicineRating,alternativeMedicineRating
shortness of breath,Asthma,obesity,senior,mild,herbal,Albuterol,"Quercetin, Yoga",4.3,3.6
cough,Common Cold,asthma,child,mild,no preference,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.3,4.2
headache,Migraine,allergies,child,mild,pharmaceutical,Paracetamol,"Magnesium, Butterbur",4.8,3.2
anxiety,Generalized Anxiety Disorder,no known condition,child,mild,no preference,Alprazolam,"Chamomile, L-Theanine",4.2,5.0
anxiety,Generalized Anxiety Disorder,diabetes,adult,moderate,no preference,Alprazolam,"Chamomile, Valerian Root",4.3,4.5
skin rash,Allergic Reaction,heart disease,child,moderate,no preference,Antihistamine,"Calendula, Aloe Vera",4.8,3.9
anxiety,Generalized Anxiety Disorder,hypertension,senior,mild,no preference,Alprazolam,"Chamomile, L-Theanine",3.5,3.9
shortness of breath,Asthma,diabetes,adult,mild,pharmaceutical,Albuterol,"Deep Breathing, Yoga",3.6,3.8
fatigue,Chronic Fatigue Syndrome,hypertension,adult,moderate,pharmaceutical,Vitamin B12,"Ginseng, Rhodiola",4.2,4.3
headache,Migraine,heart disease,adult,mild,herbal,Paracetamol,"Butterbur, Feverfew",4.7,3.6
joint pain,Arthritis,obesity,adult,moderate,herbal,Ibuprofen,"Boswellia, Devil’s Claw",4.1,4.6
cough,Common Cold,obesity,adult,mild,no preference,Dextromethorphan,"Thyme Tea, Mulethi",3.8,4.5
fatigue,Chronic Fatigue Syndrome,allergies,senior,mild,pharmaceutical,Vitamin B12,"Ashwagandha, Ginseng",4.9,3.3
dizziness,Vertigo,allergies,adult,moderate,herbal,Meclizine,"Ginseng, Bacopa",3.7,3.8
joint pain,Arthritis,allergies,child,severe,herbal,Ibuprofen,"Boswellia, Turmeric",4.3,4.5
insomnia,Sleep Disorder,no known condition,child,mild,pharmaceutical,Melatonin,"Lavender Oil, Magnesium",4.8,3.7
dizziness,Vertigo,hypertension,child,moderate,herbal,Meclizine,"Ginger, Ginseng",4.8,3.0
headache,Migraine,no known condition,child,mild,herbal,Paracetamol,"Feverfew, Magnesium",4.9,4.4
nausea,Gastroenteritis,hypertension,adult,severe,no preference,Ondansetron,"Peppermint Oil, Ginger",4.6,4.0
joint pain,Arthritis,obesity,child,mild,no preference,Ibuprofen,"Turmeric, Boswellia",4.0,3.6
shortness of breath,Asthma,allergies,senior,moderate,no preference,Albuterol,"Quercetin, Yoga",4.0,3.8
insomnia,Sleep Disorder,allergies,senior,severe,no preference,Melatonin,"Magnesium, Passionflower",3.9,3.2
cough,Common Cold,obesity,adult,mild,herbal,Dextromethorphan,"Thyme Tea, Mulethi",3.9,4.5
skin rash,Allergic Reaction,obesity,adult,mild,herbal,Antihistamine,"Oatmeal, Aloe Vera",4.8,4.2
fever,Viral Infection,obesity,child,mild,no preference,Ibuprofen,"Elderberry, Giloy",3.7,4.2
headache,Migraine,asthma,child,severe,no preference,Paracetamol,"Feverfew, Butterbur",3.6,3.6
joint pain,Arthritis,no known condition,senior,mild,herbal,Ibuprofen,"Devil’s Claw, Turmeric",4.2,4.8
muscle pain,Fibromyalgia,asthma,adult,mild,no preference,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.9,4.7
sore throat,Strep Throat,allergies,adult,severe,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.4,3.2
nausea,Gastroenteritis,no known condition,senior,severe,pharmaceutical,Ondansetron,"Ginger, Lemon Balm",4.7,4.2
headache,Migraine,diabetes,child,severe,herbal,Paracetamol,"Butterbur, Magnesium",4.9,3.8
joint pain,Arthritis,allergies,senior,severe,pharmaceutical,Ibuprofen,"Boswellia, Devil’s Claw",4.7,4.9
anxiety,Generalized Anxiety Disorder,obesity,child,mild,pharmaceutical,Alprazolam,"Valerian Root, L-Theanine",4.2,4.0
fatigue,Chronic Fatigue Syndrome,diabetes,adult,mild,pharmaceutical,Vitamin B12,"Ginseng, Ashwagandha",4.9,4.2
stomach pain,Gastritis,obesity,child,moderate,herbal,Omeprazole,"Probiotics, Chamomile",3.9,4.1
dizziness,Vertigo,obesity,child,mild,pharmaceutical,Meclizine,"Ginger, Bacopa",4.6,4.6
cough,Common Cold,diabetes,adult,moderate,pharmaceutical,Dextromethorphan,"Honey & Ginger, Mulethi",4.1,3.8
dizziness,Vertigo,heart disease,child,moderate,herbal,Meclizine,"Ginger, Bacopa",4.7,4.8
insomnia,Sleep Disorder,allergies,adult,mild,no preference,Melatonin,"Magnesium, Passionflower",4.4,3.9
fever,Viral Infection,no known condition,senior,mild,no preference,Ibuprofen,"Tulsi Tea, Elderberry",3.7,4.1
fatigue,Chronic Fatigue Syndrome,allergies,adult,severe,no preference,Vitamin B12,"Ashwagandha, Rhodiola",5.0,3.2
anxiety,Generalized Anxiety Disorder,no known condition,senior,mild,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",4.6,3.7
cough,Common Cold,hypertension,adult,moderate,pharmaceutical,Dextromethorphan,"Thyme Tea, Mulethi",4.4,4.7
fever,Viral Infection,hypertension,adult,severe,no preference,Ibuprofen,"Giloy, Tulsi Tea",3.9,4.6
sore throat,Strep Throat,obesity,senior,severe,no preference,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",3.9,4.7
shortness of breath,Asthma,asthma,senior,moderate,no preference,Albuterol,"Yoga, Quercetin",3.9,3.0
fatigue,Chronic Fatigue Syndrome,diabetes,senior,mild,no preference,Vitamin B12,"Ashwagandha, Rhodiola",4.2,4.9
shortness of breath,Asthma,diabetes,adult,moderate,pharmaceutical,Albuterol,"Quercetin, Deep Breathing",3.8,3.2
cough,Common Cold,no known condition,adult,moderate,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.1,4.8
skin rash,Allergic Reaction,obesity,adult,mild,herbal,Antihistamine,"Aloe Vera, Oatmeal",4.0,3.3
fever,Viral Infection,no known condition,adult,mild,no preference,Ibuprofen,"Tulsi Tea, Giloy",4.7,3.1
sore throat,Strep Throat,obesity,child,severe,no preference,Throat Lozenges,"Slippery Elm, Saltwater Gargle",3.7,4.6
sore throat,Strep Throat,allergies,senior,mild,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.0,3.4
shortness of breath,Asthma,diabetes,child,severe,herbal,Albuterol,"Yoga, Quercetin",4.5,4.4
skin rash,Allergic Reaction,heart disease,senior,severe,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",4.4,3.1
dizziness,Vertigo,hypertension,senior,severe,no preference,Meclizine,"Bacopa, Ginger",4.1,4.7
headache,Migraine,no known condition,child,moderate,pharmaceutical,Paracetamol,"Butterbur, Feverfew",4.5,3.7
anxiety,Generalized Anxiety Disorder,allergies,senior,mild,herbal,Alprazolam,"Chamomile, L-Theanine",4.4,4.6
muscle pain,Fibromyalgia,diabetes,senior,severe,pharmaceutical,Diclofenac,"Arnica, Massage Therapy",4.4,3.8
shortness of breath,Asthma,hypertension,adult,severe,no preference,Albuterol,"Deep Breathing, Quercetin",4.8,3.8
anxiety,Generalized Anxiety Disorder,diabetes,child,mild,herbal,Alprazolam,"Chamomile, Valerian Root",4.2,3.3
anxiety,Generalized Anxiety Disorder,heart disease,child,moderate,pharmaceutical,Alprazolam,"Valerian Root, L-Theanine",4.7,4.4
shortness of breath,Asthma,allergies,child,moderate,no preference,Albuterol,"Yoga, Quercetin",4.0,5.0
cough,Common Cold,heart disease,child,severe,herbal,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.6,5.0
insomnia,Sleep Disorder,asthma,senior,moderate,pharmaceutical,Melatonin,"Magnesium, Passionflower",3.6,4.5
dizziness,Vertigo,allergies,child,mild,pharmaceutical,Meclizine,"Ginseng, Bacopa",3.9,4.1
stomach pain,Gastritis,hypertension,adult,mild,herbal,Omeprazole,"Probiotics, Fennel Seeds",4.0,4.0
headache,Migraine,heart disease,senior,moderate,no preference,Paracetamol,"Butterbur, Magnesium",4.0,3.2
muscle pain,Fibromyalgia,no known condition,senior,mild,herbal,Diclofenac,"Arnica, Eucalyptus Oil",4.2,4.2
cough,Common Cold,asthma,senior,severe,pharmaceutical,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.4,4.3
fever,Viral Infection,heart disease,child,moderate,herbal,Ibuprofen,"Tulsi Tea, Giloy",4.8,4.5
stomach pain,Gastritis,allergies,senior,moderate,pharmaceutical,Omeprazole,"Chamomile, Probiotics",5.0,4.3
anxiety,Generalized Anxiety Disorder,hypertension,adult,severe,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",4.1,4.7
sore throat,Strep Throat,hypertension,child,mild,pharmaceutical,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.0,3.2
sore throat,Strep Throat,obesity,child,mild,herbal,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",3.7,3.6
headache,Migraine,obesity,senior,severe,pharmaceutical,Paracetamol,"Magnesium, Butterbur",4.5,4.1
shortness of breath,Asthma,diabetes,senior,severe,herbal,Albuterol,"Quercetin, Deep Breathing",3.9,4.9
skin rash,Allergic Reaction,allergies,senior,moderate,no preference,Antihistamine,"Calendula, Oatmeal",3.9,4.3
muscle pain,Fibromyalgia,hypertension,adult,moderate,herbal,Diclofenac,"Arnica, Eucalyptus Oil",4.4,3.7
stomach pain,Gastritis,allergies,senior,severe,herbal,Omeprazole,"Chamomile, Probiotics",4.8,3.1
headache,Migraine,asthma,adult,mild,herbal,Paracetamol,"Magnesium, Butterbur",4.5,3.6
anxiety,Generalized Anxiety Disorder,heart disease,senior,severe,no preference,Alprazolam,"Valerian Root, Chamomile",4.2,5.0
fatigue,Chronic Fatigue Syndrome,diabetes,child,mild,herbal,Vitamin B12,"Rhodiola, Ginseng",4.7,3.6
fatigue,Chronic Fatigue Syndrome,obesity,child,moderate,no preference,Vitamin B12,"Ginseng, Rhodiola",4.3,3.6
dizziness,Vertigo,asthma,adult,mild,pharmaceutical,Meclizine,"Ginseng, Ginger",4.7,4.8
skin rash,Allergic Reaction,diabetes,child,mild,herbal,Antihistamine,"Oatmeal, Aloe Vera",4.0,3.2
sore throat,Strep Throat,no known condition,adult,mild,no preference,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.5,3.2
anxiety,Generalized Anxiety Disorder,allergies,child,severe,pharmaceutical,Alprazolam,"L-Theanine, Valerian Root",4.6,4.8
dizziness,Vertigo,hypertension,senior,severe,no preference,Meclizine,"Bacopa, Ginseng",3.5,3.2
fatigue,Chronic Fatigue Syndrome,hypertension,senior,severe,pharmaceutical,Vitamin B12,"Ashwagandha, Ginseng",3.9,3.5
insomnia,Sleep Disorder,no known condition,adult,severe,herbal,Melatonin,"Passionflower, Lavender Oil",4.6,4.4
sore throat,Strep Throat,allergies,senior,mild,herbal,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.3,4.9
sore throat,Strep Throat,obesity,adult,severe,no preference,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.7,4.5
stomach pain,Gastritis,heart disease,adult,moderate,no preference,Omeprazole,"Fennel Seeds, Chamomile",4.8,3.5
headache,Migraine,heart disease,adult,moderate,herbal,Paracetamol,"Feverfew, Magnesium",4.5,3.7
joint pain,Arthritis,allergies,adult,severe,no preference,Ibuprofen,"Devil’s Claw, Boswellia",4.3,3.5
muscle pain,Fibromyalgia,heart disease,adult,severe,pharmaceutical,Diclofenac,"Eucalyptus Oil, Arnica",4.7,3.6
muscle pain,Fibromyalgia,heart disease,adult,mild,herbal,Diclofenac,"Eucalyptus Oil, Arnica",4.9,4.9
dizziness,Vertigo,heart disease,child,moderate,no preference,Meclizine,"Bacopa, Ginger",4.1,3.3
nausea,Gastroenteritis,obesity,senior,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Peppermint Oil",4.9,3.7
headache,Migraine,heart disease,senior,mild,no preference,Paracetamol,"Feverfew, Butterbur",4.5,3.8
nausea,Gastroenteritis,hypertension,child,moderate,no preference,Ondansetron,"Lemon Balm, Ginger",3.9,3.1
insomnia,Sleep Disorder,no known condition,child,severe,herbal,Melatonin,"Lavender Oil, Magnesium",5.0,3.1
fatigue,Chronic Fatigue Syndrome,asthma,senior,mild,no preference,Vitamin B12,"Ashwagandha, Ginseng",4.4,3.8
skin rash,Allergic Reaction,diabetes,child,severe,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",4.5,3.8
headache,Migraine,diabetes,adult,severe,no preference,Paracetamol,"Butterbur, Feverfew",4.9,4.8
headache,Migraine,hypertension,child,mild,herbal,Paracetamol,"Magnesium, Butterbur",4.8,4.9
fatigue,Chronic Fatigue Syndrome,hypertension,senior,severe,herbal,Vitamin B12,"Ginseng, Rhodiola",3.5,3.7
dizziness,Vertigo,no known condition,child,severe,pharmaceutical,Meclizine,"Bacopa, Ginseng",4.7,4.4
fatigue,Chronic Fatigue Syndrome,asthma,child,mild,pharmaceutical,Vitamin B12,"Rhodiola, Ginseng",4.8,4.8
skin rash,Allergic Reaction,hypertension,adult,severe,herbal,Antihistamine,"Calendula, Oatmeal",4.0,3.3
nausea,Gastroenteritis,asthma,adult,mild,no preference,Ondansetron,"Lemon Balm, Ginger",3.9,4.4
insomnia,Sleep Disorder,no known condition,child,moderate,pharmaceutical,Melatonin,"Passionflower, Lavender Oil",4.2,3.4
insomnia,Sleep Disorder,asthma,child,mild,herbal,Melatonin,"Magnesium, Passionflower",3.5,4.9
fatigue,Chronic Fatigue Syndrome,obesity,child,mild,pharmaceutical,Vitamin B12,"Rhodiola, Ashwagandha",4.4,3.1
headache,Migraine,obesity,child,mild,no preference,Paracetamol,"Butterbur, Magnesium",4.4,4.6
joint pain,Arthritis,asthma,child,moderate,pharmaceutical,Ibuprofen,"Boswellia, Devil’s Claw",4.0,3.1
joint pain,Arthritis,diabetes,adult,mild,no preference,Ibuprofen,"Devil’s Claw, Turmeric",4.5,3.9
nausea,Gastroenteritis,diabetes,senior,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",4.1,4.8
nausea,Gastroenteritis,allergies,senior,severe,herbal,Ondansetron,"Lemon Balm, Peppermint Oil",3.6,3.7
dizziness,Vertigo,hypertension,adult,mild,pharmaceutical,Meclizine,"Bacopa, Ginger",5.0,3.9
muscle pain,Fibromyalgia,asthma,child,moderate,herbal,Diclofenac,"Massage Therapy, Arnica",4.9,4.6
sore throat,Strep Throat,allergies,child,severe,herbal,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",3.6,3.8
insomnia,Sleep Disorder,diabetes,adult,severe,no preference,Melatonin,"Magnesium, Lavender Oil",4.4,3.3
shortness of breath,Asthma,heart disease,child,mild,pharmaceutical,Albuterol,"Quercetin, Yoga",4.1,3.9
muscle pain,Fibromyalgia,heart disease,child,mild,no preference,Diclofenac,"Massage Therapy, Eucalyptus Oil",4.1,4.8
dizziness,Vertigo,no known condition,child,severe,pharmaceutical,Meclizine,"Ginger, Bacopa",4.1,4.4
anxiety,Generalized Anxiety Disorder,heart disease,child,mild,no preference,Alprazolam,"L-Theanine, Chamomile",4.7,3.4
fatigue,Chronic Fatigue Syndrome,hypertension,child,moderate,pharmaceutical,Vitamin B12,"Rhodiola, Ginseng",4.8,3.5
shortness of breath,Asthma,allergies,child,mild,herbal,Albuterol,"Deep Breathing, Yoga",3.8,3.4
headache,Migraine,hypertension,adult,severe,no preference,Paracetamol,"Magnesium, Feverfew",4.3,3.8
fever,Viral Infection,heart disease,child,severe,no preference,Ibuprofen,"Giloy, Elderberry",3.6,3.7
anxiety,Generalized Anxiety Disorder,allergies,senior,moderate,no preference,Alprazolam,"L-Theanine, Chamomile",4.9,3.2
fatigue,Chronic Fatigue Syndrome,allergies,senior,moderate,herbal,Vitamin B12,"Ginseng, Rhodiola",3.7,4.9
nausea,Gastroenteritis,no known condition,adult,mild,herbal,Ondansetron,"Peppermint Oil, Ginger",3.8,3.3
headache,Migraine,hypertension,child,severe,herbal,Paracetamol,"Feverfew, Magnesium",4.5,3.7
joint pain,Arthritis,hypertension,senior,mild,no preference,Ibuprofen,"Turmeric, Devil’s Claw",3.5,4.5
fever,Viral Infection,diabetes,child,severe,no preference,Ibuprofen,"Elderberry, Tulsi Tea",3.6,4.5
skin rash,Allergic Reaction,obesity,adult,moderate,pharmaceutical,Antihistamine,"Oatmeal, Aloe Vera",4.4,3.4
muscle pain,Fibromyalgia,allergies,senior,severe,pharmaceutical,Diclofenac,"Arnica, Eucalyptus Oil",5.0,3.6
headache,Migraine,obesity,adult,severe,pharmaceutical,Paracetamol,"Butterbur, Magnesium",3.6,3.2
dizziness,Vertigo,heart disease,adult,severe,herbal,Meclizine,"Ginger, Ginseng",4.4,4.7
shortness of breath,Asthma,hypertension,adult,mild,no preference,Albuterol,"Quercetin, Deep Breathing",4.6,4.1
anxiety,Generalized Anxiety Disorder,allergies,adult,moderate,herbal,Alprazolam,"Valerian Root, Chamomile",4.1,3.7
insomnia,Sleep Disorder,obesity,senior,severe,herbal,Melatonin,"Passionflower, Magnesium",4.0,3.1
muscle pain,Fibromyalgia,hypertension,child,mild,herbal,Diclofenac,"Massage Therapy, Eucalyptus Oil",4.5,3.2
fatigue,Chronic Fatigue Syndrome,hypertension,adult,moderate,pharmaceutical,Vitamin B12,"Rhodiola, Ginseng",3.9,3.1
nausea,Gastroenteritis,heart disease,adult,severe,pharmaceutical,Ondansetron,"Ginger, Peppermint Oil",4.7,4.3
skin rash,Allergic Reaction,diabetes,adult,moderate,pharmaceutical,Antihistamine,"Calendula, Oatmeal",4.4,4.3
muscle pain,Fibromyalgia,obesity,adult,severe,herbal,Diclofenac,"Arnica, Massage Therapy",3.5,4.1
headache,Migraine,no known condition,child,mild,no preference,Paracetamol,"Feverfew, Butterbur",4.7,3.6
anxiety,Generalized Anxiety Disorder,allergies,senior,mild,no preference,Alprazolam,"L-Theanine, Valerian Root",3.7,3.9
muscle pain,Fibromyalgia,obesity,senior,mild,pharmaceutical,Diclofenac,"Arnica, Eucalyptus Oil",3.7,3.4
stomach pain,Gastritis,heart disease,senior,moderate,pharmaceutical,Omeprazole,"Probiotics, Chamomile",4.7,4.7
sore throat,Strep Throat,obesity,adult,moderate,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.8,3.8
fever,Viral Infection,diabetes,child,severe,herbal,Ibuprofen,"Tulsi Tea, Elderberry",3.5,4.8
joint pain,Arthritis,allergies,senior,moderate,no preference,Ibuprofen,"Boswellia, Devil’s Claw",4.5,3.9
fatigue,Chronic Fatigue Syndrome,asthma,adult,severe,no preference,Vitamin B12,"Rhodiola, Ashwagandha",4.7,3.4
nausea,Gastroenteritis,diabetes,senior,moderate,pharmaceutical,Ondansetron,"Ginger, Lemon Balm",4.0,4.8
nausea,Gastroenteritis,diabetes,adult,moderate,herbal,Ondansetron,"Ginger, Peppermint Oil",4.7,4.8
cough,Common Cold,diabetes,adult,mild,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.4,4.7
nausea,Gastroenteritis,obesity,child,mild,no preference,Ondansetron,"Lemon Balm, Peppermint Oil",3.7,4.0
muscle pain,Fibromyalgia,allergies,senior,mild,pharmaceutical,Diclofenac,"Eucalyptus Oil, Arnica",4.2,4.4
sore throat,Strep Throat,heart disease,child,severe,pharmaceutical,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.4,3.2
fatigue,Chronic Fatigue Syndrome,allergies,child,mild,no preference,Vitamin B12,"Rhodiola, Ashwagandha",4.0,3.4
stomach pain,Gastritis,allergies,adult,severe,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",5.0,4.5
anxiety,Generalized Anxiety Disorder,diabetes,child,moderate,herbal,Alprazolam,"Valerian Root, Chamomile",3.6,4.2
anxiety,Generalized Anxiety Disorder,hypertension,senior,moderate,pharmaceutical,Alprazolam,"L-Theanine, Valerian Root",4.8,3.3
stomach pain,Gastritis,obesity,senior,moderate,no preference,Omeprazole,"Probiotics, Fennel Seeds",4.7,3.9
stomach pain,Gastritis,hypertension,senior,moderate,pharmaceutical,Omeprazole,"Chamomile, Fennel Seeds",4.0,4.8
insomnia,Sleep Disorder,obesity,adult,moderate,herbal,Melatonin,"Passionflower, Magnesium",3.8,4.8
anxiety,Generalized Anxiety Disorder,obesity,child,mild,no preference,Alprazolam,"Chamomile, L-Theanine",3.9,4.6
fatigue,Chronic Fatigue Syndrome,allergies,senior,moderate,herbal,Vitamin B12,"Ginseng, Ashwagandha",4.0,4.0
nausea,Gastroenteritis,obesity,adult,moderate,herbal,Ondansetron,"Ginger, Peppermint Oil",4.4,4.4
skin rash,Allergic Reaction,obesity,senior,mild,no preference,Antihistamine,"Oatmeal, Aloe Vera",4.9,4.8
anxiety,Generalized Anxiety Disorder,hypertension,senior,moderate,herbal,Alprazolam,"Chamomile, Valerian Root",4.0,3.8
sore throat,Strep Throat,diabetes,senior,severe,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.3,3.6
insomnia,Sleep Disorder,no known condition,adult,moderate,pharmaceutical,Melatonin,"Magnesium, Passionflower",4.2,3.5
sore throat,Strep Throat,diabetes,senior,mild,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",3.6,5.0
fatigue,Chronic Fatigue Syndrome,heart disease,child,mild,herbal,Vitamin B12,"Ginseng, Rhodiola",4.5,5.0
headache,Migraine,heart disease,senior,mild,herbal,Paracetamol,"Magnesium, Feverfew",3.7,4.4
stomach pain,Gastritis,obesity,senior,moderate,pharmaceutical,Omeprazole,"Probiotics, Chamomile",3.7,3.4
joint pain,Arthritis,hypertension,child,moderate,pharmaceutical,Ibuprofen,"Boswellia, Turmeric",4.7,5.0
fever,Viral Infection,no known condition,child,mild,herbal,Ibuprofen,"Elderberry, Tulsi Tea",3.9,4.3
dizziness,Vertigo,obesity,adult,severe,herbal,Meclizine,"Ginseng, Bacopa",3.8,4.4
stomach pain,Gastritis,no known condition,adult,moderate,herbal,Omeprazole,"Fennel Seeds, Chamomile",4.3,4.7
fever,Viral Infection,allergies,senior,severe,no preference,Ibuprofen,"Elderberry, Giloy",4.8,3.6
cough,Common Cold,asthma,senior,mild,no preference,Dextromethorphan,"Thyme Tea, Honey & Ginger",5.0,4.2
shortness of breath,Asthma,diabetes,child,mild,pharmaceutical,Albuterol,"Deep Breathing, Yoga",4.6,4.1
fatigue,Chronic Fatigue Syndrome,hypertension,child,mild,herbal,Vitamin B12,"Ashwagandha, Rhodiola",3.9,4.2
muscle pain,Fibromyalgia,heart disease,senior,severe,herbal,Diclofenac,"Massage Therapy, Eucalyptus Oil",4.3,3.8
sore throat,Strep Throat,allergies,child,severe,no preference,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",3.8,4.5
dizziness,Vertigo,obesity,child,moderate,no preference,Meclizine,"Ginger, Bacopa",4.6,3.6
fever,Viral Infection,diabetes,child,mild,herbal,Ibuprofen,"Tulsi Tea, Giloy",4.4,3.3
stomach pain,Gastritis,hypertension,adult,severe,herbal,Omeprazole,"Probiotics, Fennel Seeds",3.7,3.6
cough,Common Cold,asthma,senior,mild,herbal,Dextromethorphan,"Thyme Tea, Mulethi",3.6,3.3
insomnia,Sleep Disorder,no known condition,senior,severe,no preference,Melatonin,"Passionflower, Lavender Oil",3.7,3.6
skin rash,Allergic Reaction,asthma,adult,moderate,pharmaceutical,Antihistamine,"Calendula, Aloe Vera",4.1,3.5
insomnia,Sleep Disorder,asthma,adult,moderate,herbal,Melatonin,"Magnesium, Lavender Oil",3.8,3.1
shortness of breath,Asthma,heart disease,senior,mild,herbal,Albuterol,"Deep Breathing, Yoga",4.3,4.0
muscle pain,Fibromyalgia,allergies,child,severe,herbal,Diclofenac,"Massage Therapy, Eucalyptus Oil",4.1,3.8
insomnia,Sleep Disorder,diabetes,senior,mild,herbal,Melatonin,"Magnesium, Lavender Oil",4.1,3.2
insomnia,Sleep Disorder,hypertension,adult,severe,pharmaceutical,Melatonin,"Passionflower, Lavender Oil",4.1,3.9
headache,Migraine,no known condition,senior,mild,pharmaceutical,Paracetamol,"Magnesium, Feverfew",3.8,3.9
sore throat,Strep Throat,obesity,senior,severe,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.1,3.2
cough,Common Cold,heart disease,senior,mild,no preference,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.6,3.1
nausea,Gastroenteritis,heart disease,senior,mild,pharmaceutical,Ondansetron,"Peppermint Oil, Lemon Balm",4.8,4.1
nausea,Gastroenteritis,no known condition,adult,moderate,pharmaceutical,Ondansetron,"Peppermint Oil, Lemon Balm",3.8,3.8
sore throat,Strep Throat,allergies,senior,mild,no preference,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.0,3.8
insomnia,Sleep Disorder,heart disease,child,mild,herbal,Melatonin,"Lavender Oil, Passionflower",4.4,3.1
fever,Viral Infection,obesity,senior,moderate,pharmaceutical,Ibuprofen,"Elderberry, Tulsi Tea",4.2,4.6
anxiety,Generalized Anxiety Disorder,hypertension,adult,severe,pharmaceutical,Alprazolam,"L-Theanine, Valerian Root",4.3,4.9
shortness of breath,Asthma,no known condition,senior,moderate,herbal,Albuterol,"Quercetin, Yoga",3.5,4.4
anxiety,Generalized Anxiety Disorder,diabetes,child,moderate,herbal,Alprazolam,"Chamomile, L-Theanine",4.9,4.0
fever,Viral Infection,diabetes,adult,moderate,herbal,Ibuprofen,"Giloy, Elderberry",4.4,3.1
sore throat,Strep Throat,allergies,adult,severe,no preference,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.0,3.7
skin rash,Allergic Reaction,hypertension,child,moderate,herbal,Antihistamine,"Calendula, Aloe Vera",3.6,4.1
stomach pain,Gastritis,heart disease,child,mild,herbal,Omeprazole,"Probiotics, Chamomile",4.5,4.9
joint pain,Arthritis,asthma,child,severe,pharmaceutical,Ibuprofen,"Turmeric, Boswellia",4.8,4.9
fatigue,Chronic Fatigue Syndrome,asthma,adult,mild,herbal,Vitamin B12,"Ginseng, Ashwagandha",4.0,4.5
headache,Migraine,allergies,child,moderate,herbal,Paracetamol,"Magnesium, Feverfew",4.7,3.4
joint pain,Arthritis,hypertension,adult,severe,no preference,Ibuprofen,"Boswellia, Turmeric",4.4,4.7
fever,Viral Infection,hypertension,child,severe,herbal,Ibuprofen,"Tulsi Tea, Elderberry",4.1,4.2
cough,Common Cold,hypertension,adult,severe,herbal,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.3,3.3
headache,Migraine,allergies,senior,severe,herbal,Paracetamol,"Magnesium, Feverfew",3.5,4.7
fever,Viral Infection,asthma,senior,moderate,pharmaceutical,Ibuprofen,"Giloy, Elderberry",4.0,4.7
skin rash,Allergic Reaction,asthma,adult,mild,no preference,Antihistamine,"Calendula, Aloe Vera",3.9,4.7
cough,Common Cold,obesity,child,moderate,pharmaceutical,Dextromethorphan,"Mulethi, Honey & Ginger",4.4,3.4
muscle pain,Fibromyalgia,obesity,adult,severe,pharmaceutical,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.3,3.8
nausea,Gastroenteritis,no known condition,adult,mild,herbal,Ondansetron,"Peppermint Oil, Ginger",4.8,5.0
anxiety,Generalized Anxiety Disorder,diabetes,adult,severe,pharmaceutical,Alprazolam,"L-Theanine, Chamomile",4.8,4.3
dizziness,Vertigo,asthma,senior,severe,no preference,Meclizine,"Bacopa, Ginseng",4.7,4.9
nausea,Gastroenteritis,obesity,senior,severe,pharmaceutical,Ondansetron,"Peppermint Oil, Ginger",4.7,3.2
muscle pain,Fibromyalgia,hypertension,adult,severe,no preference,Diclofenac,"Massage Therapy, Arnica",4.4,5.0
sore throat,Strep Throat,no known condition,adult,severe,no preference,Throat Lozenges,"Slippery Elm, Licorice Root Tea",3.6,3.1
